 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate
Malta;495;728;25522;42497;12;2020;2020-12;0.2
Netherlands;87;220;3330;13079;12;2020;2020-12;0.9
North Macedonia;202;689;14314;49195;12;2020;2020-12;3.1
Norway;2518;12166;302165;819690;12;2020;2020-12;1.4
Poland;108;436;15311;51535;12;2020;2020-12;3.4
Portugal;12153;29179;332541;1294873;12;2020;2020-12;-0.3
Romania;2706;7223;131925;411325;12;2020;2020-12;1.8
Serbia;17;62;907;2493;12;2020;2020-12;1.3
Slovakia;1776;3325;174656;343870;12;2020;2020-12;1.6
Slovenia;2264;4107;158846;271566;12;2020;2020-12;-1.2
Spain;1560;3127;50090;125961;12;2020;2020-12;-0.6
Sweden;2927;10085;205102;462659;12;2020;2020-12;0.6
Switzerland;7930;21488;841483;2241912;12;2020;2020-12;-1
Turkey;6641;18854;351414;1074093;12;2020;2020-12;14.6
United Kingdom;339;1344;12908;51965;12;2020;2020-12;0.8
Belgium;1384;9028;15738;218618;1;2021;2021-1;0.6
Bulgaria;267;1718;48374;248336;1;2021;2021-1;-0.3
Croatia;1441;8679;62868;522528;1;2021;2021-1;0
Cyprus;84;254;6416;30950;1;2021;2021-1;-0.8
Czechia;4409;16870;241120;988252;1;2021;2021-1;2.2
Denmark;20144;64126;438086;2221738;1;2021;2021-1;0.4
Estonia;751;1734;27199;156032;1;2021;2021-1;0.3
France;130;781;8650;44876;1;2021;2021-1;0.8
Germany;1;1;34;654;1;2021;2021-1;1.6
Greece;566;3194;28588;258351;1;2021;2021-1;-2.4
Hungary;823;5825;17006;158918;1;2021;2021-1;2.9
Iceland;955;5027;19468;232419;1;2021;2021-1;3.5
Ireland;2613;13175;39855;368667;1;2021;2021-1;-0.1
Italy;1373;3459;89394;197301;1;2021;2021-1;0.7
Latvia;22;66;331;3152;1;2021;2021-1;-0.5
Lithuania;685;3208;31856;178664;1;2021;2021-1;0.2
Luxembourg;96;557;3843;49765;1;2021;2021-1;1.1
Malta;635;1363;23742;66239;1;2021;2021-1;0.2
Netherlands;47;267;4821;17900;1;2021;2021-1;1.6
North Macedonia;116;805;12464;61659;1;2021;2021-1;2.6
Norway;2171;14337;157881;977571;1;2021;2021-1;2.7
Poland;121;557;11857;63392;1;2021;2021-1;3.6
Portugal;8115;37294;192508;1487381;1;2021;2021-1;0.2
Romania;5566;12789;278565;689890;1;2021;2021-1;2
Serbia;5;67;532;3025;1;2021;2021-1;1.2
Slovakia;695;4020;51393;395263;1;2021;2021-1;0.7
Slovenia;2473;6580;142917;414483;1;2021;2021-1;-0.9
Spain;728;3855;40960;166921;1;2021;2021-1;0.4
Sweden;2144;12229;112257;574916;1;2021;2021-1;1.9
Switzerland;4505;25993;235551;2477463;1;2021;2021-1;-0.6
Turkey;4080;22934;149786;1223879;1;2021;2021-1;15
Belgium;1139;10167;28088;246706;2;2021;2021-2;0.3
Bulgaria;267;1985;39931;288267;2;2021;2021-2;0.2
Croatia;556;9235;32312;554840;2;2021;2021-2;0.7
Cyprus;45;299;3562;34512;2;2021;2021-2;-0.9
Czechia;4163;21033;252995;1241247;2;2021;2021-2;2.1
Denmark;9939;74065;224215;2445953;2;2021;2021-2;0.5
Estonia;236;1970;13462;169494;2;2021;2021-2;0.5
France;106;887;12558;57434;2;2021;2021-2;0.8
Germany;0;1;4;658;2;2021;2021-2;1.6
Greece;326;3520;12567;270918;2;2021;2021-2;-1.9
Hungary;727;6552;35885;194803;2;2021;2021-2;3.3
Iceland;499;5526;10547;242966;2;2021;2021-2;2.8
Ireland;2314;15489;64205;432872;2;2021;2021-2;-0.4
Italy;893;4352;22855;220156;2;2021;2021-2;1
Latvia;3;69;65;3217;2;2021;2021-2;-0.2
Lithuania;314;3522;13925;192589;2;2021;2021-2;0.4
Luxembourg;85;642;5158;54923;2;2021;2021-2;-0.5
Malta;405;1768;19945;86184;2;2021;2021-2;0.1
Netherlands;48;315;4579;22479;2;2021;2021-2;1.9
North Macedonia;198;1003;14174;75833;2;2021;2021-2;2.5
Norway;1479;15816;110169;1087740;2;2021;2021-2;3.6
Poland;65;622;8723;72115;2;2021;2021-2;3.6
Portugal;6628;43922;195885;1683266;2;2021;2021-2;0.3
Romania;3555;16344;90362;780252;2;2021;2021-2;2.5
Serbia;7;74;691;3716;2;2021;2021-2;1.2
Slovakia;423;4443;63996;459259;2;2021;2021-2;0.9
Slovenia;2672;9252;143837;558320;2;2021;2021-2;-1.1
Spain;317;4172;23504;190425;2;2021;2021-2;-0.1
Sweden;792;13021;91180;666096;2;2021;2021-2;1.8
Switzerland;2576;28569;224125;2701588;2;2021;2021-2;-0.4
Turkey;3116;26050;128255;1352134;2;2021;2021-2;15.6
Belgium;2483;12650;81064;327770;3;2021;2021-3;1.6
Bulgaria;234;2219;30414;318681;3;2021;2021-3;0.8
Croatia;354;9589;39203;594043;3;2021;2021-3;1.6
Cyprus;26;325;9434;43946;3;2021;2021-3;0.3
